3.2.3.3.1	NPAC SMS shall allow NPAC personnel to create a new LNP NPA NXX for a Service Provider.
5.1.2.2.2.1.10.3.1	NPAC SMS shall include the cause code for conflict in the conflict notification to the Old and New Service Provider when a Subscription Version is set to conflict upon Subscription Version modification.
5.1.2.2.2.2.11.1	NPAC SMS shall allow only NPAC personnel and the current Service Provider to modify their own active Subscription Versions.
5.1.2.2.2.2.35.1	NPAC SMS shall require the following data from NPAC personnel or SOA to NPAC SMS interface users to identify the active Subscription Version to be modified: Ported Telephone Numbers (or a specified range of numbers) and status of Active or Subscription Version ID
5.1.2.2.2.2.36.1	NPAC SMS shall allow the following data to be modified for an active Subscription Version: •	Location Routing Number (LRN)   the identifier of the ported to switch •	Class DPC •	Class SSN •	LIDB DPC •	LIDB SSN •	CNAM DPC •	CNAM SSN •	ISVM DPC •	ISVM SSN •	WSMSC DPC (if supported by the Service Provider SOA) •	WSMSC SSN (if supported by the Service Provider SOA)
5.1.2.2.2.2.37.1	NPAC SMS shall accept the following optional fields from the new Service Provider or NPAC personnel for an active Subscription Version to be modified: •	Billing Service Provider ID •	End User Location   Value •	End User Location   Type
5.1.2.2.2.2.38.1.1	NPAC SMS shall perform field-level data validations to ensure that the value formats for the following input data, if supplied, is valid according to the formats specified in Table 3-6 upon Subscription Version modification of an active version: •	LRN •	Class DPC •	Class SSN  •	CNAM DPC •	CNAM SSN •	ISVM DPC •	ISVM SSN •	WSMSC DPC (if supported by the Service Provider SOA) •	WSMSC SSN (if supported by the Service Provider SOA) •	Billing Service Provider ID •	End-User Location - Value •	End-User Location - Type
5.1.2.2.2.2.38.2.1	NPAC SMS shall verify that an input LRN is associated with the new Service Provider in the NPAC SMS system upon Subscription Version modification of an active version.
5.1.2.2.2.2.39.1.1	NPAC SMS shall send an appropriate error message to the originating user if the modified active Subscription Version fails validations.
5.1.2.2.2.2.39.2.1	NPAC SMS shall leave the original version intact upon validation failure of a modified active Subscription Version.
5.1.2.2.2.2.46.1	NPAC SMS shall create an old Subscription Version with a new version id for an active Subscription Version prior to modification.
5.1.2.2.2.2.47.1	NPAC SMS shall broadcast no data to the Local SMSs due to the creation of an old Subscription Version with a new version id for an active Subscription Version prior to modification.
5.1.2.2.2.2.40.1.1	NPAC SMS shall record the current date and time as the broadcast date and time stamp upon initiation of broadcasting of the modified active Subscription Version.
5.1.2.2.2.2.40.3.1	NPAC SMS shall notify the originating user indicating successful modification of an active Subscription Version.
5.1.2.2.2.2.40.4.1	NPAC SMS shall record the current date and time as the Broadcast Complete Date and Time Stamp, after one Local SMS has successfully acknowledged modifying the new Subscription Version.
5.1.2.2.2.2.41.1	NPAC SMS shall proceed with the broadcast modified active subscription process upon successful modification of an active Subscription Version.
5.1.2.2.2.2.41.1.1	NPAC SMS shall determine which Local SMSs to send the Subscription Version to by identifying all Local SMSs that are accepting Subscription version data downloads for the given NPA-NXX.
5.1.2.2.2.2.41.2.1	NPAC SMS shall send the modified Subscription version via the NPAC SMS to Local SMS Interface to the Local SMSs
5.1.2.2.2.2.41.3.1	NPAC SMS shall set the Subscription Version status to sending upon sending the Subscription version to the Local SMSs.
5.1.2.2.2.2.41.4.1	NPAC SMS shall upon completion of the broadcast (failed or successful) return the status of the modified active subscription to its previous state.
5.1.2.2.2.2.41.5.1	NPAC SMS shall use the Subscription Modification Retry Attempts tunable parameter which defines the number of times a new Subscription Version will be sent to a Local SMS which has not acknowledged receipt of the modify request.
5.1.2.2.2.2.41.6.1	NPAC SMS shall use the Subscription Modification Retry Interval tunable parameter, which defines the delay between sending new Subscription Versions to a Local SMS that has not acknowledged receipt of the modify request.
5.1.2.2.2.2.41.7.1	NPAC SMS shall resend the modified Subscription Version a Subscription Modification Retry Attempts tunable parameter number of times to a Local SMS that has not acknowledged the receipt of the modification request once the Subscription Activation Retry Interval tunable parameter expires.
5.1.2.2.2.2.41.8.1	NPAC SMS shall retain the status for the Subscription Version being modified as sending until the earlier of the Subscription Version retry period has expired for all Local SMSs, or until all Local SMSs have acknowledged the modification.
5.1.2.2.2.2.41.9.1	NPAC SMS shall notify the NPAC SMS Administrator of all Local SMSs where a modify has failed, once each Local SMS has successfully responded or failed to respond during the modification retry period.
5.1.2.2.2.2.41.10.1	NPAC SMS shall provide NPAC SMS personnel with the functionality to re-send modify active Subscription Version requests to all failed Local SMSs.
5.1.2.2.2.2.41.11.1	NPAC SMS shall send a list to the Current Service Provider of all Local SMSs that failed modification when a Subscription Version modify active fails.
5.1.2.2.3.1.42.1	NPAC SMS shall require the following data from NPAC personnel to identify the Subscription Version to be placed in conflict: Ported Telephone Number or Subscription Version ID
5.1.2.2.3.1.43.1.1	NPAC SMS shall send an error message to the NPAC personnel or old Service Provider if the version status is not pending or cancel pending upon attempting to set the Subscription Version to conflict.
5.1.2.2.3.1.43.2.1	NPAC SMS shall send an error message to the SOA if the cause code is not specified upon setting the Subscription Version to conflict.
5.1.2.2.3.1.42.1.1	NPAC SMS shall only allow a subscription version to be placed into conflict by the Old Service provider one time.
5.1.2.2.3.1.42.2.1	NPAC SMS shall provide a Conflict Restriction Tunable which is defined as the time on the business day prior to the New Service Provider due date that a pending Subscription Version can no longer be placed into conflict state by the old Service Provider.
5.1.2.2.3.1.50.1	NPAC SMS shall provide a Conflict Restriction Window that restricts an Old Service Provider from putting a Subscription Version into Conflict.
5.1.2.2.3.1.51.1	NPAC SMS shall restrict a Subscription Version from being placed into Conflict by the Old Service Provider, when the Conflict Restriction Window Tunable Time is reached AND the Final Concurrence Timer (T2) has expired.
5.1.2.2.3.1.2.1	The date used for the Conflict Restriction Window Tunable calculation relies on the date value specified in the New Service Provider due date.
5.1.2.2.3.1.42.3.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Conflict Restriction Window Tunable parameter.
5.1.2.2.3.1.42.4.1	NPAC SMS shall default the Conflict Restriction Window Tunable parameter to 12 noon.
5.1.2.2.3.1.42.5.1	NPAC SMS shall not apply the Conflict Restriction Window Tunable to subscription versions being ported using short timers.
5.1.2.2.3.1.44.1.1	NPAC SMS shall, upon placing a Subscription Version into conflict, set the version status to conflict.
5.1.2.2.3.1.44.2.1	NPAC SMS shall, upon placing a Subscription Version into conflict, record the current date and time as the conflict date and time stamp.
5.1.2.2.3.1.44.3.1	NPAC SMS shall issue an appropriate message to the originating user and the Old and New Service Providers indicating successful completion of the process to place a subscription in conflict.
5.1.2.2.3.1.45.1.1	NPAC SMS shall provide a Conflict Expiration Window tunable parameter which is defined as a number of calendar days a Subscription Version will remain in conflict prior to cancellation.
5.1.2.2.3.1.45.2.1	NPAC SMS shall default the Conflict Expiration Window tunable parameter to 30 calendar days.
5.1.2.2.3.1.45.3.1	NPAC SMS shall allow the NPAC SMS Administration to modify the Conflict Expiration Window tunable parameter.
5.1.2.2.3.1.45.4.1	NPAC SMS shall set the status of the Subscription Version to cancel after a Subscription Version has been in conflict for a Conflict Expiration Window tunable parameter number of calendar days.
5.1.2.2.3.1.45.5.1	NPAC SMS shall set a Subscription Version cancellation date timestamp to the current time upon setting a conflict Subscription Version to cancel.
5.1.2.2.3.1.45.6.1	NPAC SMS shall notify both Service Providers after a Subscription Version status is set to cancel from conflict.
5.1.2.2.3.2.46.1	NPAC SMS shall require the following data from the NPAC personnel user, new, or old Service Provider to identify the Subscription Version to be set from conflict to pending:  Ported Telephone Number or Subscription Version ID
5.1.2.2.3.2.47.1	NPAC SMS shall send an error message to the originating user if the Subscription Version status is not in conflict upon attempting to set the Subscription Version to pending.
5.1.2.2.3.2.50.1.1	NPAC SMS shall set the version status to pending if the Subscription Version is in conflict upon a request from NPAC personnel, new, or old service providers to set a Subscription Version to pending.
5.1.2.2.3.2.50.2.1	NPAC SMS shall send an appropriate message to the originating user indicating successful completion of the process to set a subscription to pending.
5.1.2.2.3.2.12.1.1	NPAC SMS shall inform both Service Providers when the status of a Subscription Version is set to pending for an Inter-Service Provider port.
5.1.2.2.3.2.12.3.1	NPAC SMS shall provide long and short Conflict Resolution New Service Provider Restriction tunable parameters which are defined as a number of business hours after the subscription version is put into conflict that the NPAC SMS will prevent it from being removed from conflict by the New Service Provider.
5.1.2.2.3.2.12.4.1	NPAC SMS shall default the long Conflict Resolution New Service Provider Restriction tunable parameter to 6 business hours.
5.1.2.2.3.2.12.5.1	NPAC SMS shall allow the NPAC SMS Administration to modify the long and short Conflict Resolution New Service Provider Restriction tunable parameters.
5.1.2.2.3.2.12.6.1	NPAC SMS shall default the short Conflict Resolution New Service Provider Restriction tunable parameter to 6 business hours.
5.1.2.2.3.2.14.1	NPAC SMS shall update the conflict resolution date and time stamp with the current date and time and set the old Service Provider Authorization flag to true when conflict is resolved.
5.1.2.2.4.51.1.1	NPAC SMS shall require the following data from the NPAC personnel or new service provider to identify the Subscription Version to be activated: Ported Telephone Number or Subscription Version ID
5.1.2.2.4.51.2.1	NPAC SMS shall record the current date and time as the Activation Broadcast Complete Date and Time Stamp, as soon as one Local SMS has successfully acknowledged activating the new Subscription Version.
5.1.2.2.4.21.1	NPAC SMS shall proceed with the “immediate” disconnect processing when a “porting to original” Subscription Version is activated.
5.1.2.2.4.22.1	NPAC SMS shall set the Activation Received timestamp to the current date and time upon receiving a Subscription Version activation request.
5.1.2.2.4.52.1	NPAC SMS shall send an error message to the originating user if the version status is not pending upon Subscription Version activation.
5.1.2.2.4.53.1.1	NPAC SMS shall verify that a Subscription Version is in a valid pending state by checking that a new Service Provider time stamp exists and that the effective date of the NPA-NXX has been reached.
5.1.2.2.4.53.2.1	NPAC SMS shall send an error message to the originating user if the Subscription validation fails.
5.1.2.2.4.53.3.1	NPAC SMS shall verify that a pending Subscription Version is eligible for activation by ensuring that the new Service Provider due date is less than or equal to the current date.
5.1.2.2.4.55.1	NPAC SMS shall determine which Local SMSs to send the Subscription Version to by identifying all Local SMS that are accepting Subscription Version data downloads for the given NPA-NXX.
5.1.2.2.4.57.1.1	NPAC SMS shall send the activated Subscription Version for an activated Inter or Intra-Service Provider port via the NPAC SMS to Local SMS Interface to the Local SMSs.
5.1.2.2.4.57.2.1	NPAC SMS shall set the subscription status to sending upon sending the activated Subscription Version to the Local SMSs.
5.1.2.2.4.57.3.1	NPAC SMS shall record the current date and time as the broadcast date and time stamp upon initiating sending the activated subscription to the Local SMSs.
5.1.2.2.4.58.1.1	NPAC SMS shall log the activation responses resulting from the activation requests sent to the Local SMSs.
5.1.2.2.4.58.2.1	NPAC SMS shall provide a Local SMS Activation Log Retention Period tunable parameter which is defined as the number of calendar days Local SMS activation responses will remain in the log.
5.1.2.2.4.58.3.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Local SMS Activation Log Retention Period tunable parameter.
5.1.2.2.4.58.4.1	NPAC SMS shall default the Local SMS Activation Log Retention Period tunable parameter to 90 calendar days.
5.1.2.2.4.58.5.1	NPAC SMS shall allow NPAC personnel to view the Local SMS Activation Message log.
5.1.2.2.4.59.1.1	NPAC SMS shall, upon receiving successful activation acknowledgment from all involved Local SMSs, set the sending Subscription Version status to active.
5.1.2.2.4.59.2.1	NPAC SMS shall upon receiving successful activation acknowledgment from any involved Local SMSs, set the previous active Subscription Version status to old.
5.1.2.2.4.60.1.1	NPAC SMS shall provide a Subscription Activation Retry Attempts tunable parameter which defines the number of times a new Subscription Version will be sent to a Local SMS which has not acknowledged receipt of the activation request.
5.1.2.2.4.60.2.1	NPAC SMS shall provide a Subscription Activation Retry Interval tunable parameter, which defines the delay between sending new Subscription Versions to a Local SMS that has not acknowledged receipt of the activation request.
5.1.2.2.4.60.3.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Subscription Activation Retry Attempts tunable parameter.
5.1.2.2.4.60.4.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Subscription Activation Retry Interval tunable parameter.
5.1.2.2.4.60.5.1	NPAC SMS shall default the Subscription Activation Retry Attempts tunable parameter to 3 times.
5.1.2.2.4.60.6.1	NPAC SMS shall default the Subscription Activation Retry Interval tunable parameter to 2 minutes.
5.1.2.2.4.60.7.1	NPAC SMS shall resend the activated Subscription Version a Subscription Activation Retry Attempts tunable parameter number of times to a Local SMS that has not acknowledged the receipt of the activation request once the Subscription Activation Retry Interval tunable parameter expires.
5.1.2.2.4.60.8.1	NPAC SMS shall consider the Subscription Version activation for a given Local SMS failed once the applicable Activation Retry tunable parameter number of retries has been exhausted for that Local SMS.
5.1.2.2.4.60.9.1	NPAC SMS shall retain the status for the Subscription Version being activated as sending until the Subscription Version retry period expires for all Local SMSs, or until all Local SMSs have acknowledged the activation.
5.1.2.2.4.60.10.1	NPAC SMS shall notify the NPAC SMS Administrator of all Local SMSs where new activation failed, once each Local SMS has successfully responded or failed to respond during the activation retry period.
5.1.2.2.4.60.11.1	NPAC SMS shall set the Subscription Version status to partial failure if the activation resulting from an subscription version activation request failed in one or more, but not all, of the Local SMSs.
5.1.2.2.4.60.12.1	NPAC SMS shall set the status of a previous active version to old when a Subscription Version activation succeeds for at least one of the Local SMSs.
5.1.2.2.4.61.1.1	NPAC SMS shall set the status of the Subscription Version to failed if the Subscription Version fails activation resulting from an subscription version activation request in all the Local SMSs to which it was sent.
5.1.2.2.4.61.2.1	NPAC SMS shall notify the NPAC System Administrator when a Subscription Version fails activation at all of the Local SMSs.
5.1.2.2.4.61.3.1	NPAC SMS shall provide NPAC SMS personnel with the functionality to re-send activate Subscription Version requests to all failed Local SMSs.
5.1.2.2.4.22.1.1	NPAC SMS shall send a list to the Old and New Service Providers of all Local SMSs that failed activation when a Subscription Version is set to failed or partial failure subsequent to Subscription Version activation for an Inter-Service Provider port.
5.1.2.2.4.22.2.1	NPAC SMS shall send a list to the current Service Provider of all Local SMSs that failed activation when a Subscription Version is set to failed or partial failure subsequent to Subscription Version activation for an Intra-Service Provider port.
5.1.2.2.4.60.1	NPAC SMS shall allow NPAC personnel, a Service Provider SOA via the SOA to NPAC SMS Interface, or Service Provider via the NPAC SOA Low-tech Interface, to activate intra-service provider ports for a TN within the 1K Block, where there is no active Subscription Version in the NPAC SMS.  (Previously SV-200)
5.1.2.2.4.61.1	The NPAC SMS shall broadcast a new Subscription Version Create to a non-EDR Local SMS, upon activating a port-to-original Subscription Version, where the TN is within the range of a 1K Block, once the Block exists in the NPAC SMS.  (Previously SV-210)
5.1.2.2.4.62.1	The NPAC SMS shall broadcast a Subscription Version Delete to an EDR Local SMS, upon activating a port-to-original Subscription Version, where the TN is within the range of a 1K Block, once the Block exists in the NPAC SMS.  (Previously SV-220)
5.1.2.2.5.62.1	NPAC SMS shall receive the following data from the NPAC personnel or current Service Provider to identify an active Subscription Version to be disconnected: Ported Telephone Numbers (or a specified range of numbers) or Subscription Version ID
5.1.2.2.5.23.1.1	NPAC SMS shall require the following input data upon a Subscription Version disconnect: •	Customer Disconnect Date - Date upon which the customer’s service is disconnected.
5.1.2.2.5.23.2.1	NPAC SMS shall accept the following optional input data upon a Subscription Version disconnect: •	Effective Release Date - Future date upon which the disconnect should be broadcast to all Local SMSs.
5.1.2.2.5.10.1	NPAC SMS shall allow only NPAC personnel or the Current Service Provider to invoke the functionality to disconnect a Subscription Version.
5.1.2.2.5.63.1	NPAC SMS shall send an appropriate error message to the originating user that the Subscription Version is not active in the network and cannot be disconnected or set to disconnect pending if there is no Subscription Version with a status of active.
5.1.2.2.5.64.1.1	NPAC SMS shall notify the originating user that the active Subscription Version cannot be disconnected if a version of that subscription version with a status other than canceled or old exists.
5.1.2.2.5.48.1	NPAC SMS shall create an old Subscription Version with a new version id for a disconnect-pending Subscription Version when the immediate or deferred disconnect request is received.
5.1.2.2.5.49.1	NPAC SMS shall broadcast no data to the Local SMSs due to the creation of an old Subscription Version with a new version id for a disconnect-pending Subscription Version when the immediate or deferred disconnect request is received.
5.1.2.2.5.24.1	NPAC SMS shall set the status of a Subscription Version to disconnect pending upon a Subscription Version disconnect request when an effective release date is specified.
5.1.2.2.5.25.1.1	NPAC SMS shall inform the current Service Provider when the status of a Subscription Version is set to Disconnect Pending.
5.1.2.2.5.25.2.1	NPAC SMS shall notify the new Service Provider (donor) of the Subscription Version Customer Disconnect Date and Effective Release Date immediately prior to broadcasting a Subscription Version disconnect.
5.1.2.2.5.65.1.1	NPAC SMS shall immediately proceed with the broadcasting of the disconnect after the Customer Disconnect Date notification is sent if no Effective Release Date was specified with the request.
5.1.2.2.5.65.2.1	NPAC SMS shall proceed with the broadcasting of the disconnect when the specified Effective Release Date is reached if an Effective Release Date was specified with the request.
5.1.2.2.5.65.4.1	NPAC SMS shall broadcast the disconnect Subscription Version message to the Local SMSs that are accepting Subscription Version data downloads for the given NPA-NXX via the NPAC SMS to Local SMS Interface.
5.1.2.2.5.65.5.1	NPAC SMS shall record the current date and time as the disconnect broadcast date and time stamp upon sending of disconnect messages to the Local SMSs.
5.1.2.2.5.65.6.1	NPAC SMS shall set a Subscription Version status to sending upon sending the disconnect messages to the Local SMSs.
5.1.2.2.5.66.2.1	NPAC SMS shall update the Disconnect Complete timestamp of the previously active Subscription Version upon completion of the broadcast, and the FIRST successful response from a Local SMS.
5.1.2.2.5.66.3.1	NPAC SMS shall set the disconnect Subscription Version to old if a successful response from at least one Local SMS is returned.
5.1.2.2.5.66.4.1	NPAC SMS shall update the status of the disconnect Subscription Version upon completion of the Deletion broadcast, and a response from ALL Local SMSs, or retries are exhausted.
5.1.2.2.5.67.1.1	NPAC SMS shall set the status of the disconnect Subscription Version to active if the disconnect fails in all the Local SMSs to which it was sent.
5.1.2.2.5.67.1.2	NPAC SMS shall notify the NPAC SMS System Administrator when a disconnect Subscription Version fails in all of the Local SMSs.
5.1.2.2.5.67.1.3	NPAC SMS shall provide authorized NPAC SMS personnel with the functionality to resend all failed disconnect requests to the Local SMSs.
5.1.2.2.5.68.1.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the Subscription Disconnect Retry Attempts tunable parameter, which is defined as the number of times the NPAC SMS will resend a disconnect message to an unresponsive Local SMS.
5.1.2.2.5.68.1.2	NPAC SMS shall default the Subscription Disconnect Retry Attempts tunable parameter to 3 times.
5.1.2.2.5.68.1.3	NPAC SMS shall allow the NPAC SMS Administrator to modify the Subscription Disconnect Retry Interval tunable parameter, which is defined as the amount of time that shall elapse between disconnect retries.
5.1.2.2.5.68.4.1	NPAC SMS shall default the Subscription Disconnect Retry Interval tunable parameter to 2 minutes.
5.1.2.2.5.68.5.1	NPAC SMS shall resend a Subscription Version disconnect message a Subscription Disconnect Retry Attempts tunable parameter number of times to a Local SMS that has not acknowledged the receipt of a disconnect once the Subscription Disconnect Retry Interval tunable parameter expires.
5.1.2.2.5.68.6.1	NPAC SMS shall retain the status for the Subscription Version being disconnected as sending until the Subscription Disconnect Retry Attempts tunable parameter period expires for all Local SMSs, or until all Local SMSs have acknowledged the disconnect.
5.1.2.2.5.68.7.1	NPAC SMS shall consider the disconnect Subscription Version request to have failed at a specific Local SMS after the Subscription Disconnect Retry Attempts tunable parameter count for the specific Local SMS has been exhausted.
5.1.2.2.5.68.8.1	NPAC SMS shall send a list of the Local SMSs where the disconnect request failed to the NPAC SMS System Administrator after every local SMS has either succeeded or failed with the disconnect.
5.1.2.2.5.68.9.1	NPAC SMS shall set the disconnect Subscription Version status to old if the disconnect request failed at one or more, but not all, of the Local SMSs.
5.1.2.2.5.68.10.1	NPAC SMS shall provide authorized NPAC SMS personnel with the functionality to resend disconnect requests to all Local SMSs that failed to register the disconnect request.
5.1.2.2.5.68.11	The NPAC SMS shall reinstate the Block default routing, block holder Service Provider Id and the LNP Type to POOL for a subscription version upon a disconnect for a ported TN, or an activate for a Port-To-Original TN, belonging to the 1K Block, once the Block exists in the NPAC SMS, except for a status of Old, with or without a Block Failed SP List.  (Previously SV-390)
5.1.2.2.5.64.1	NPAC SMS shall notify the Block Holder of the Subscription Version Customer Disconnect Date and Effective Release Date, for a ported pooled Subscription Version that is being disconnected, prior to reinstating the default routing.
5.1.2.2.5.65.1	The NPAC SMS shall broadcast a new Subscription Version Create to a non-EDR Local SMS, upon a disconnect of a ported pooled Subscription Version, where the TN is within the 1K Block.
5.1.2.2.5.66.1	The NPAC SMS shall broadcast a Subscription Version Delete to an EDR Local SMS, upon a disconnect of a ported pooled Subscription Version, where the TN is within the 1K Block.
5.1.2.2.5.67.2.1	NPAC SMS shall update the Status of the individual subscription version(s) broadcast to the EDR Local SMSs, and the individual subscription version(s) broadcast to the non-EDR Local SMSs, upon completion of the disconnect broadcast to ALL EDR and non-EDR Local SMSs.  (Previously SV-422.1)
5.1.2.2.5.67.2.2	NPAC SMS shall, upon broadcasting the delete of the Subscription Version to EDR Local SMSs, and create of Subscription Version to non-EDR Local SMSs, set the status of the Subscription Version being disconnected to:  •	Active, if ALL EDR and non-EDR Local SMSs, fail the broadcast. •	Old, for all other cases.
5.1.2.2.5.67.2.3	NPAC SMS shall, upon broadcasting the delete of the Subscription Version to EDR Local SMSs, and create of Subscription Version to non-EDR Local SMSs, set the status of the Subscription Version being created to reinstate default routing to: •	Active, if all EDR and non-EDR Local SMSs, respond successfully to the broadcast. •	Failed, if all EDR and non-EDR Local SMSs, fail the broadcast, or retries are exhausted. •	Partial Failure, for all other cases.
5.1.2.2.5.68.2.1	NPAC SMS shall update the Status of the individual subscription version(s) broadcast to the EDR Local SMSs, the individual subscription version(s) broadcast to the non-EDR Local SMSs, and the individual subscription version(s) representing the port-to-original request, upon completion of the Port-To-Original broadcast to ALL EDR and non-EDR Local SMSs.  (Previously SV-423.1)
5.1.2.2.5.68.2.2	NPAC SMS shall, upon broadcasting the delete of the Subscription Version to EDR Local SMSs, and create of Subscription Version to non-EDR Local SMSs, set the status of the Subscription Version being ported-to-original to:  •	Old, if ALL EDR and non-EDR Local SMSs, respond successfully to the broadcast. •	Failed, if ALL EDR and non-EDR Local SMSs, fail the broadcast, or retries are exhausted. •	Partial Failure, for all other cases.
5.1.2.2.5.68.2.3	NPAC SMS shall, upon broadcasting the delete of the Subscription Version to EDR Local SMSs, and create of Subscription Version to non-EDR Local SMSs, set the status of the previously active Subscription Version being disconnected due to the port-to-original request to: •	Active, if ALL EDR and non-EDR Local SMSs, fail the broadcast. •	Old, for all other cases.
5.1.2.2.5.68.4.1	NPAC SMS shall, upon broadcasting the delete of the Subscription Version to EDR Local SMSs, and create of Subscription Version to non-EDR Local SMSs, set the status of the Subscription Version being created to reinstate default routing for the port-to-original request to: •	Active, if all EDR and non-EDR Local SMSs, respond successfully to the broadcast. •	Failed, if all EDR and non-EDR Local SMSs, fail the broadcast, or retries are exhausted. •	Partial Failure, for all other cases.
5.1.2.2.5.69.1	NPAC SMS shall update the Subscription Version Failed SP List of the individual subscription version(s) that were broadcast to the EDR Local SMSs with the discrepant Local SMS(s) , upon completion of the broadcast of the delete of the Subscription Version(s) to EDR Local SMSs, and the create of the Subscription Version(s) to non-EDR Local SMSs.  (Previously SV-425)
5.1.2.2.5.70.1	NPAC SMS shall update the Subscription Version Failed SP List of the individual subscription version(s) that were sent up in the Port-to-Original Activate request by the SOA with the discrepant Local SMS(s), upon completion of the broadcast of the delete of the Subscription Version(s) to EDR Local SMSs, and the create of the Subscription Version(s) to non-EDR Local SMSs.  (Previously SV-426)
5.1.2.2.6.26.1.1	NPAC SMS shall inform both old and new Service Providers when the status of a Subscription Version is set to cancel pending for an Inter-Service Provider port.
5.1.2.2.6.69.1	NPAC SMS shall receive the following data from the NPAC personnel to identify a Subscription Version to be canceled: Ported Telephone Number (or a specified range of numbers) or Subscription Version ID
5.1.2.2.6.70.1	NPAC SMS shall send an appropriate error message to the originating user if the status is not pending, conflict, or disconnect pending.
5.1.2.2.6.27.1	NPAC SMS shall send an appropriate error message to the originating user if the originating user is neither the New nor the Old Service Provider in the existing Subscription Version upon Subscription Version cancellation.
5.1.2.2.6.71.2.1	NPAC SMS shall set the Subscription Version cancellation date and time to current upon setting the Subscription Version status to canceled.
5.1.2.2.6.71.3.1	NPAC SMS shall set the subscription version status to cancel upon receiving a cancellation from the old Service Provider if the New Service Provider has not sent a subscription version create.
5.1.2.2.6.71.4.1	NPAC SMS shall set the subscription version status to cancel upon receiving a cancellation from the New Service Provider if the Old Service Provider has not sent an subscription version create.
5.1.2.2.6.71.5.1	NPAC SMS shall return an error if a Service Provider sends a cancellation for a subscription version that has not been created by that Service Provider.
5.1.2.2.6.71.6.1	NPAC SMS shall set the subscription version status to Cancel Pending upon receiving a cancellation from either the Old or New Service Provider for a subscription version with a pending status (both Service Providers have done a create) for an Inter-Service Provider or Port to original port.
5.1.2.2.6.71.8.1	NPAC SMS shall set the subscription version status to cancel upon receiving a cancellation from the new Service Provider on a subscription in conflict that was previously in cancel pending and for which only the old service provider has sent a cancellation acknowledgment.
5.1.2.2.6.71.9.1	NPAC SMS shall return an error to the Old Service Provider if they attempt to cancel a Subscription Version that is in conflict due to lack of New Service Provider cancellation concurrence on a subscription version that was previously in cancel pending state.
5.1.2.2.6.71.10.1	NPAC SMS shall set the subscription version status to Active upon receiving a cancellation for a subscription version with a status of disconnect pending.
5.1.2.2.6.71.11.1	NPAC SMS shall set the subscription version status to cancel upon receiving a cancellation from the current Service Provider for an Intra-Service Provider port.
5.1.2.2.6.28.1.1	NPAC SMS shall set the Subscription Version status to cancel upon receiving cancellation pending acknowledgment from the Service Provider that did not initiate the cancellation for an Inter-Service Provider port.
5.1.2.2.6.29.1.1	NPAC SMS shall notify both old and new Service Providers after a Subscription Version’s status is set to canceled for an Inter-Service Provider port.
5.1.2.2.6.29.2.1	NPAC SMS shall notify the current Service Provider after a Subscription Version’s status is set to canceled for an Intra-Service Provider port.
5.1.2.2.6.30.1	NPAC SMS shall update the old Service Provider cancellation date and time stamp with the current date and time when the cancellation acknowledgment is received from the old Service Provider.
5.1.2.2.6.31.1	NPAC SMS shall update the new Service Provider cancellation date and time stamp with the current date and time when the cancellation acknowledgment is received from the new Service Provider.
5.1.2.2.6.32.1.1	NPAC SMS shall provide long and short Cancellation-Initial Concurrence Window tunable parameters, which are defined as the number of business hours after the version is set to Cancel Pending by which the non-originating Service Provider is expected to acknowledge the pending cancellation.
5.1.2.2.6.32.2.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the long and short Cancellation-Initial Concurrence Window tunable parameters.
5.1.2.2.6.32.3.1	NPAC SMS shall default the long Cancellation-Initial Concurrence Window tunable parameter to 9 business hours.
5.1.2.2.6.32.4.1	NPAC SMS shall default the short Cancellation-Initial Concurrence Window tunable parameter to 9 business hours.
5.1.2.2.6.33.1.1	NPAC SMS shall provide long and short Cancellation-Final Concurrence Window tunable parameters which are defined as the number of business hours after the second cancel pending notification is sent by which both Service Providers are expected to acknowledge the pending cancellation.
5.1.2.2.6.33.2.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the long and short Cancellation-Final Concurrence Window tunable parameters.
5.1.2.2.6.33.3.1	NPAC SMS shall default the long Cancellation-Final Concurrence Window tunable parameter to 9 business hours.
5.1.2.2.6.33.4.1	NPAC SMS shall default the short Cancellation-Final Concurrence Window tunable parameter to 9 business hours.
5.1.2.2.6.34.1	NPAC SMS shall send a notification to the Service Provider (new or old) who has not yet acknowledged the cancel pending status when the Cancellation-Initial Concurrence Window tunable parameter expires.
5.1.2.2.6.35.1.1	NPAC SMS shall set the Subscription Version status to conflict when the NPAC SMS has not received the cancellation acknowledgment from the new Service Provider and the Cancellation-Final Concurrence Window tunable parameter has expired.
5.1.2.2.6.35.2.1	NPAC SMS shall set the Subscription Version status to cancel and set the cause code to “NPAC SMS automatic cancellation” when the NPAC SMS has not received the cancellation acknowledgment from the Old Service Provider and the Cancellation-Final Concurrence Window tunable parameter has expired.
5.1.2.2.6.36.1	NPAC SMS shall notify the old and new Service Providers upon setting a Subscription Version to conflict.
